Drop height,Capillary radius,R-s,R-e,image, XGboost Prediction, LGBM Prediction
2.3132306439651344,0.9930535592779618,1.0748344406302646,1.1098833897812515,d.0.55.png, 0.529455, .49549361
2.3291419552908708,0.9998841727258789,1.0763459035813874,1.1175176048112765,d.1.05.png, 0.5299758, 0.50529608
2.2071500606961925,0.9475139149453351,1.0311180839111,1.0589861402330216,d.1.55.png, 0.49722406, 0.46836934
2.2403070678854,0.9617479836881768,1.046608099895957,1.0748948052985505,d.2.05.png, 0.5077467, 0.47766872
2.165143564358413,0.9294808230831572,1.0060263026311818,1.0388315081517638,d.2.55.png, 0.48229048, 0.45546409
2.2331359445989114,0.9586694711661993,1.031979489549497,1.071454114832811,d.3.05.png, 0.50010186,  0.46831117
2.225558149834623,0.9554163774542573,1.0397178225237507,1.0678183042135818,d.3.55.png, 0.5033048, 0.47273872
2.1909524669479397,0.9405604024776509,1.0180183179758104,1.0512145674750217,d.4.05.png, 0.48955035, 0.46170664
2.158817705269544,0.9267651765046023,1.008538574431479,1.0357963737404379,d.4.55.png, 0.48320776, 0.45546409
2.1706087112790042,0.931826972013714,1.0140469989561005,1.0414536746035628,d.5.05.png, 0.4872519, 0.45889587
2.1162397783718183,0.9084867735434574,0.97795929152031,1.015367570430923,d.5.55.png, 0.46892917, 0.58413304
2.11666702140761,0.9086701859578123,0.988846967071737,1.0155725607763786,d.6.05.png, 0.4655531, 0.58687652
2.1332930813857707,0.9158076359484368,0.9912270883206611,1.0235497107659,d.6.55.png,0.46964636, 0.43360887
2.143614560119275,0.9202385737885775,1.0014360950052168,1.0285019354107632,d.7.05.png, 0.47827962, 0.43882396
2.175529744211399,0.9339395366564088,1.0108522043810542,1.0438147762630452,d.7.55.png, 0.48533753, 0.4577495
2.198767787552623,0.9439154643533987,1.0272021229728163,1.054964342512622,d.8.05.png, 0.49442068, 0.46659688
